Grupo,Año,PE,PR,PD_tom_real,PD_ret_real,dBRUTO_real,dNETO_real,PE_MXN,PD_tom_real_MXN,PD_ret_real_MXN,PD_tom_NT_reg_m,PD_ret_NT_reg_m,dBRUTO_NT_reg_m,dNETO_NT_reg_m,PD_tom_NT_reg_m_MXN,PD_ret_NT_reg_m_MXN,PD_tom_NT_reg_t,PD_ret_NT_reg_t,dBRUTO_NT_reg_t,dNETO_NT_reg_t,PD_tom_NT_reg_t_MXN,PD_ret_NT_reg_t_MXN,PD_tom_NT_reg_susc,PD_ret_NT_reg_susc,dBRUTO_NT_reg_susc,dNETO_NT_reg_susc,PD_tom_NT_reg_susc_MXN,PD_ret_NT_reg_susc_MXN,PD_tom_MEC_pub,PD_ret_MEC_pub,dBRUTO_MEC_pub,dNETO_MEC_pub,PD_tom_MEC_pub_MXN,PD_ret_MEC_pub_MXN,PD_tom_MEC_prop,PD_ret_MEC_prop,dBRUTO_MEC_prop,dNETO_MEC_prop,PD_tom_MEC_prop_MXN,PD_ret_MEC_prop_MXN,PD_tom_MEC_reg,PD_ret_MEC_reg,dBRUTO_MEC_reg,dNETO_MEC_reg,PD_tom_MEC_reg_MXN,PD_ret_MEC_reg_MXN,PD_tom_CAL,PD_ret_CAL,dBRUTO_CAL,dNETO_CAL,PD_tom_CAL_MXN,PD_ret_CAL_MXN,err_tom_NT_reg_m,err%_tom_NT_reg_m,err_ret_NT_reg_m,err%_ret_NT_reg_m,err_tom_NT_reg_t,err%_tom_NT_reg_t,err_ret_NT_reg_t,err%_ret_NT_reg_t,err_tom_NT_reg_susc,err%_tom_NT_reg_susc,err_ret_NT_reg_susc,err%_ret_NT_reg_susc,err_tom_MEC_pub,err%_tom_MEC_pub,err_ret_MEC_pub,err%_ret_MEC_pub,err_tom_MEC_prop,err%_tom_MEC_prop,err_ret_MEC_prop,err%_ret_MEC_prop,err_tom_MEC_reg,err%_tom_MEC_reg,err_ret_MEC_reg,err%_ret_MEC_reg,err_tom_CAL,err%_tom_CAL,err_ret_CAL,err%_ret_CAL
AyE,2025,45412042.95184095,40041994.6015052,44862506.20128234,39961746.28325529,549536.7505586129,80248.31824991107,872999831.7693037,858912758.7882138,766014234.9651777,45123663.538257204,40225812.800636396,288379.4135837462,-183818.19913119823,863771348.1063588,770978874.8393319,45732700.565820724,40752393.11261284,-320657.61397977173,-710398.5111076459,876198228.0586776,781642001.917362,40440238.775098264,35546512.98888551,4971804.176742681,4495481.61261969,778546720.8234539,684973175.0099251,42392102.83548073,37248217.39946661,3019940.1163602187,2793777.2020385903,810626744.915554,712198425.6429785,42865727.31886304,37662123.26558292,2546315.6329779048,2379871.335922282,819187734.634154,719555041.8639566,45510946.68427334,40635076.3305144,-98903.7324323915,-593081.729009198,872128445.0122702,779802373.6658628,45346496.50103033,40403696.39625371,65546.45081061311,-361701.7947485093,868304072.8586766,774545047.809813,261157.3369748667,0.00582128282809581,264066.5173811093,0.006607982431732671,870194.3645383865,0.019396918233549623,790646.829357557,0.01978509206663105,-4422267.426184073,-0.09857379358930395,-4415233.2943697795,-0.1104864953366626,-2470403.36580161,-0.05506610252039367,-2713528.883788675,-0.06790316080170135,-1996778.8824192956,-0.04450885720606978,-2299623.0176723674,-0.05754560877726087,648440.4829910025,0.014453951370475768,673330.0472591147,0.01684936495233324,483990.29974799603,0.010788302766156247,441950.11299842596,0.01105932933625604
AyE,2026,25285672.634315167,22295600.490654223,22409318.849618815,20463896.24616427,2876353.7846963517,1831704.244489953,442571350.7528051,392648796.1585394,358567679.35109746,23706764.21940556,21642006.006719097,1578908.414909605,653594.4839351233,415520922.8666016,379350908.21985906,23779838.00497698,21593253.70247364,1505834.6293381844,702346.7881805822,416750938.734555,378450896.9596461,27342420.133496843,24752632.748995587,-2056747.4991816767,-2457032.2583413646,478434633.820812,433119262.8103573,23948361.998798724,21363093.0094458,1337310.6355164424,932507.4812084213,419458280.70865303,374186107.46169376,23841893.306281578,21185834.492054727,1443779.3280335888,1109765.9985994953,417571142.052757,371061422.8243058,22064296.33426802,20217032.57853293,3221376.300047148,2078567.9121212922,385947211.09827876,353632933.6500789,23739617.721799403,21605454.204693567,1546054.912515765,690146.2859606538,416069619.61427397,378686100.7510589,1297445.3697867468,0.057897581737912415,1178109.7605548277,0.05757015899529159,1370519.1553581655,0.06115844772236253,1129357.4563093707,0.055187802103964255,4933101.283878028,0.22013615482837137,4288736.5028313175,0.20957575484361604,1539043.1491799094,0.0686787117229174,899196.7632815316,0.04394064319252381,1432574.456662763,0.06392762164152666,721938.2458904572,0.035278631068400595,-345022.5153507963,-0.015396385658400551,-246863.66763133928,-0.012063375647617013,1330298.8721805885,0.059363646039746414,1141557.9585292973,0.05578399855028925
CAT,2023,175031046.80136207,126286579.011935,174828451.14905846,125956975.92886285,202595.65230362862,329603.08307213895,3076671698.7864285,3074847208.13762,2215641028.3065343,168147623.39848638,121091456.13040271,6883423.402875686,5195122.881532274,2956177265.1302686,2129108091.7405317,168863894.50478855,121633017.39208041,6167152.296573529,4653561.619854579,2968649379.741449,2138516330.0872397,170772731.54967448,123092708.36568907,4258315.251687588,3193870.6462459182,3002420136.2529254,2164250691.2380486,173272766.66034028,124955843.41039422,1758280.1410218063,1330735.6015407736,3044980943.850399,2195937420.750119,173452447.73220268,125092550.96060112,1578599.0691594072,1194028.051333863,3048117862.336697,2198317071.9054284,168156811.6041383,121094661.06194222,6874235.197223751,5191917.949992773,2956285385.046862,2129131477.3250709,167811056.39190546,120837072.83042024,7219990.409456611,5449506.181514742,2950303229.8425136,2124678785.3333542,-6680827.750572085,-0.038213618588178316,-4865519.798460141,-0.03862842659233147,-5964556.644269913,-0.03411662464014248,-4323958.5367824435,-0.03432885320479987,-4055719.59938398,-0.02319828135940002,-2864267.563173786,-0.022740047083945933,-1555684.4887181818,-0.008898348515321501,-1001132.5184686333,-0.007948210181181598,-1376003.4168557823,-0.007870592045013336,-864424.9682617337,-0.006862859019018826,-6671639.544920146,-0.03816106303677035,-4862314.866920635,-0.038602981939378576,-7017394.757153004,-0.0401387457878351,-5119903.098442614,-0.040648031287558055
CAT,2024,220123004.33593884,146140230.42007026,217712678.69134068,145906320.0435084,2410325.6445981413,233910.37656184845,4086582824.029655,4046655959.3336735,2711424034.9148507,217139877.78003728,145459283.1567721,2983126.555901563,680947.2632981613,4032251160.967238,2700667099.3040695,217585944.084595,145612572.8978887,2537060.2513438277,527657.5221815892,4040649731.9631214,2703640290.738471,222370284.28956962,148275405.07166195,-2247279.9536307743,-2135174.6515916893,4123918266.739393,2749315899.3352737,220523886.75039336,146762927.5651943,-400882.4144545351,-622697.1451240536,4098162656.5174932,2727273861.8754396,220651020.32140157,146805069.81372952,-528015.9854627219,-664839.3936592583,4100645080.6706014,2728153610.5131316,217357726.62754297,145629498.01881856,2765277.708395876,510732.40125172026,4035706105.600355,2703394922.4465218,216917443.94725448,145378098.36290762,3205560.3886843733,762132.0571626369,4028145490.7448955,2699153877.424626,-572800.911303401,-0.002630994734649708,-447036.88673630357,-0.0030638623919991936,-126734.60674569011,-0.0005821186322610382,-293747.1456197202,-0.0020132585451550456,4657605.598228931,0.021393359478306687,2369085.0281535387,0.01623702816606636,2811208.059052676,0.012912468285956968,856607.5216858983,0.005870941857970669,2938341.6300608814,0.013496419444761308,898749.7702211142,0.0061597727223406925,-354952.0637977123,-0.001630369282723038,-276822.0246898532,-0.0018972586287373055,-795234.744086206,-0.0036526799856871892,-528221.6806007922,-0.00362027964548266
CAT,2025,290603569.46456385,181410807.82477507,281790317.99618614,176911437.0519315,8813251.468377672,4499370.772843584,5551577690.806128,5385842442.608568,3381973518.2439127,283237246.68060064,177786934.6989767,7366322.7839632,3623873.1257983726,5412024347.354721,3397782870.86193,284086317.82324946,178204126.43440264,6517251.641314369,3206681.390372431,5428030278.999774,3405544771.502222,286097973.9775738,178920982.0497984,4505595.486990003,2489825.7749766875,5468632617.330763,3420207780.2966366,289279595.00102466,180789897.64557266,1323974.4635391585,620910.1792024206,5523221990.425376,3451974475.9872146,289490300.48257685,180888660.92160028,1113268.9819869883,522146.90317477565,5527197203.616076,3453808115.7005367,283043865.5999256,177673400.829114,7559703.864638235,3737406.995661095,5408051451.851243,3395445205.617982,282772485.5782607,177550675.37684667,7831083.886303071,3860132.447928408,5403171672.926393,3393318502.1549215,1446928.684414506,0.005134770756865001,875497.6470451951,0.004948790545340475,2295999.827063322,0.008147901756846014,1292689.3824711442,0.007306985936085531,4307655.981387675,0.015286742326774962,2009544.9978668988,0.011359045132152799,7489277.004838526,0.026577481646973725,3878460.593641162,0.021923176128531806,7699982.48639071,0.02732522018905889,3977223.8696687818,0.02248144006936808,1253547.6037394404,0.004448511973915323,761963.7771824896,0.004307035146398245,982167.5820745826,0.003485455387746415,639238.3249151707,0.0036133239069643945
CAT,2026,124719053.64237468,77856525.69268797,124318439.90855189,79389813.74590552,400613.73382279277,-1533288.0532175358,2177850186.4892526,2171514819.3122325,1386623856.8433235,125322949.80566104,79837773.75733283,-603896.1632863507,-1981248.0646448508,2188664240.5162745,1394217177.3277807,125357170.83561201,79666126.30219886,-638117.1932373308,-1809600.6095108856,2189271601.5402594,1391235419.4962287,127595907.64091396,80093257.9570013,-2876853.9985392755,-2236732.264313313,2228366117.2260733,1398738656.5251489,123506778.40488032,77522719.49815162,1212275.23749437,333806.1945363688,2156942048.782954,1353844055.9973164,123521021.40869127,77477002.79252633,1198032.233683412,379522.90016165096,2157187928.1656322,1353046767.1591997,125338865.95446008,79865505.43280306,-619812.3120853975,-2008979.74011508,2188985076.3205166,1394726076.742401,125241820.8923842,79886800.5745212,-522767.25000951067,-2030274.8818332255,2187248797.058202,1395069120.2159786,1004509.8971091509,0.00808013596251742,447960.0114273131,0.005642537629084895,1038730.9270601273,0.008355405101803185,276312.55629333854,0.003480453514826254,3277467.7323620766,0.026363488270710025,703444.2110957801,0.008860635614377667,-811661.5036715716,-0.0065288906800039185,-1867094.2477539033,-0.023518058043689484,-797418.4998606145,-0.006414321965809675,-1912810.953379184,-0.024093909068754252,1020426.0459081978,0.008208163219059206,475691.68689754605,0.005991847876354031,923380.9838323146,0.007427546424420623,496986.82861568034,0.006260083065647854
Credito,2023,4677642.623115208,2928318.1907786396,3914691.795603942,2497881.0558125162,762950.8275112659,430437.1349661234,82610485.94369951,69248200.8036811,43968710.465396404,4403554.990852526,2837153.52378608,274087.6322626816,91164.66699255956,77539495.01658827,49719726.68772715,4474106.088122337,2871873.5187570737,203536.5349928711,56444.67202156596,78832456.63328445,50402790.826242454,4700128.803357368,2947256.2863659724,-22486.180242160124,-18938.095587332507,83003741.97548825,52042075.5787608,4682115.16867289,2937369.6818319308,-4472.545557682184,-9051.491053290825,82680029.2007509,51857504.19055789,4689285.520881688,2939356.033720849,-11642.897766480004,-11037.842942209238,82806819.65499814,51898610.571183756,4384293.330996044,2822005.8123544976,293349.292119164,106312.37842414202,77200652.93251051,49455302.1130859,4322235.54106997,2795407.1526383967,355407.0820452387,132911.03814024292,76068940.86140557,48919969.39503077,488863.19524858426,0.12487910179737777,339272.4679735638,0.13582410867166153,559414.292518395,0.14290123507209357,373992.4629445574,0.14972388780253762,785437.0077534262,0.20063827467476333,449375.2305534561,0.17990257362646211,767423.3730689483,0.19603672859527208,439488.6260194145,0.1759445771033548,774593.7252777461,0.19786838037865126,441474.97790833283,0.17673979186520108,469601.53539210185,0.11995875024425869,324124.75654198136,0.1297598841977483,407543.7454660274,0.10410621493208849,297526.09682588046,0.11911139488949786
Credito,2024,5304050.880431377,2430738.498358279,4879841.140307217,2446068.6139058294,424209.7401241604,-15330.115547550377,98383971.9417571,90854258.66851845,45369634.76424758,4893511.070515846,2399927.057812511,410539.8099155319,30811.440545768244,91089761.26251535,44582624.24874479,4932281.451063613,2388956.713198258,371769.42936776415,41781.785160020925,91907810.54881048,44458150.60880922,5311404.652627539,2438668.3681406435,-7353.772196161553,-7929.869782364323,98502782.05193946,45224265.223876625,5245252.99334755,2406430.5270342105,58797.887083827896,24307.971324068407,97654842.83681305,44872094.6829586,5268169.50842454,2413689.298176208,35881.37200683746,17049.20018207129,98107492.63616201,45027292.85737306,4848897.460516976,2372502.3653444913,455153.4199144016,58236.13301378791,90610416.92130624,44302635.40931478,4865147.174507853,2419044.3885993655,438903.7059235247,11694.109758913517,90410630.36407137,44825918.45420331,13669.930208628997,0.002801306398217789,-46141.55609331839,-0.018863557559671455,52440.3107563965,0.010746315146049007,-57111.9007075713,-0.023348445903312687,431563.512320322,0.08843802490938309,-7400.245765185915,-0.003025363116600954,365411.8530403329,0.07488191572919276,-39638.08687161887,-0.01620481398039184,388328.36811732315,0.07957807579221225,-32379.315729621332,-0.013237288416827662,-30943.679790240712,-0.006341124413794465,-73566.24856133806,-0.03007530048139944,-14693.965799364261,-0.0030111565882735237,-27024.225306463894,-0.011048024226643503
Credito,2025,7459546.709936935,2745954.1319580683,7125039.648666684,2851470.4299830203,334507.0612702514,-105516.29802495171,143142942.0539074,135990130.11967874,54607011.46879519,6771607.0344333425,2627330.25096076,687939.6755035929,118623.880997309,129753577.36290112,50530615.33298692,6853914.091398894,2635009.5525909094,605632.6185380411,110944.5793671594,131407813.7837097,50684262.99491147,7162928.5508210845,2601132.5437429836,296618.15911585017,144821.58821508498,137766832.12972766,50071769.42341646,7237858.7140333215,2650422.2779780175,221687.9959036135,95531.85398005114,138805686.41721854,50828358.00325141,7263763.710412901,2655680.9308417803,195782.9995240341,90273.20111628828,139285125.60774437,50913095.58710795,6598795.806257319,2544708.7571431254,860750.9036796163,201245.3748149434,126334351.56531467,48893836.47176221,6663865.287531587,2607809.313347671,795681.4224053477,138144.81861039763,127673590.9713402,50181536.555904076,-353432.61423334107,-0.0496043014019549,-224140.17902226048,-0.0786051212965218,-271125.5572677897,-0.038052498040277674,-216460.87739211088,-0.07591201897660915,37888.902154400945,0.005317711061648777,-250337.8862400367,-0.08779255909784321,112819.0653666379,0.01583416667551455,-201048.15200500283,-0.07050683390961905,138724.0617462173,0.01946993540901585,-195789.49914124003,-0.06866264404586721,-526243.8424093649,-0.07385837389800932,-306761.6728398949,-0.10758016973078749,-461174.3611350963,-0.06472586594257007,-243661.1166353491,-0.0854510410044126
Credito,2026,4940462.762293635,1818647.2534361102,3356548.694693681,969812.9132748649,1583914.0675999536,848834.3401612453,85924073.1612258,58694823.784531884,17029930.6434406,3291955.963206715,939084.2378641302,1648506.7990869195,879563.01557198,57468142.010854796,16439928.369131,3491918.4578634566,1046610.8287611776,1448544.304430178,772036.4246749326,60944818.61607975,18310690.511074632,5110299.572254894,1900997.9944632933,-169836.80996125986,-82350.74102718325,88890899.62635057,33068363.009880997,5056098.074364183,1872679.3700466913,-115635.31207054798,-54032.116610581,87953628.70143655,32578558.35836732,5060082.649805317,1876096.900982339,-119619.88751168191,-57449.64754622872,88019545.66270615,32636436.121076755,3502917.403590326,1043882.6183405083,1437545.3587033083,774764.6350956019,61155656.60351967,18272220.31673016,3160260.5528053027,865897.5772294607,1780202.2094883318,952749.6762066495,55166457.6955501,15159674.259231497,-64592.7314869659,-0.01924379395689376,-30728.675410734722,-0.03168515802390186,135369.76316977572,0.04033004597364543,76797.9154863127,0.07918838204265753,1753750.8775612134,0.5224863504389771,931185.0811884284,0.9601698105297465,1699549.3796705017,0.5063383654636963,902866.4567718264,0.9309697204618841,1703533.9551116358,0.5075254703751887,906283.987707474,0.9344936278968834,146368.70889664534,0.04360690763343833,74069.70506564341,0.07637525140341221,-196288.1418883782,-0.05847915813010169,-103915.3360454042,-0.10714987872712771
Diversos,2023,60670316.35292897,49655725.855898924,51442164.47333187,43222954.7532216,9228151.879597101,6432771.102677323,1067261338.9374317,910311136.7124993,764232751.2464887,51508142.870728776,43319062.038533986,9162173.482200194,6336663.817364942,911197968.5250145,765669411.0404373,52720654.83177525,44159056.57148897,7949661.521153722,5496669.284409959,932372093.8026425,780408150.0409116,60335328.4749535,49773090.582284346,334987.87797546666,-117364.72638542391,1065896232.9388295,879225438.5406258,59743104.89676166,49029430.973624006,927211.4561673054,626294.8822749192,1051814800.8791958,863137855.3766987,59940326.71670587,49152809.968043275,729989.6362230997,502915.8878556534,1055117569.5978158,865187735.9689032,51527863.342210665,43345724.71045559,9142453.010718305,6310001.145443339,911649666.4689854,766223848.5522596,51508142.870728776,43319062.038533986,9162173.482200194,6336663.817364942,911197968.5250145,765669411.0404373,65978.39739690721,0.0012825742865293134,96107.28531238437,0.00222352418665272,1278490.3584433794,0.024852965879889475,936101.8182673678,0.021657515632884768,8893164.001621634,0.17287694039841459,6550135.829062745,0.15154299067382787,8300940.423429795,0.16136452477098012,5806476.220402405,0.13433779003666152,8498162.243374005,0.16519838016885033,5929855.214821674,0.13719226852207958,85698.8688787967,0.001665926575139035,122769.95723398775,0.0028403878896048206,65978.39739690721,0.0012825742865293134,96107.28531238437,0.00222352418665272
Diversos,2024,72899218.14132562,58785453.13636106,70231991.71227978,56982687.14973451,2667226.4290458485,1802765.9866265506,1368081015.7350247,1316789682.4973993,1070281607.5810648,69505608.93390916,56411376.57424451,3393609.2074164674,2374076.562116552,1302014835.4263182,1058691573.173296,70176084.29490629,56902662.857530005,2723133.8464193344,1882790.2788310535,1313602238.549962,1066830894.7016232,69539588.80085456,56192230.59807542,3359629.3404710647,2593222.538285639,1283257651.121879,1037337735.3842044,72678435.53920385,58646476.62890532,220782.60212176712,138976.50745574106,1364240222.0810046,1101064918.249068,72838074.04830226,58763838.22809778,61144.09302336909,21614.908263277262,1367158194.0419455,1103141566.3969963,69873566.01393008,56707407.41486804,3025652.1273955405,2078045.7214930207,1308514802.5058281,1063913546.2336769,69505608.93390916,56411376.57424451,3393609.2074164674,2374076.562116552,1302014835.4263182,1058691573.173296,-726382.7783706188,-0.010342619661797427,-571310.5754900053,-0.010026037803179788,-55907.417373493314,-0.000796039184002212,-80024.2922045067,-0.001404361503595387,-692402.911425218,-0.009858796462184826,-790456.5516590923,-0.013871872163241343,2446443.8269240707,0.03483375264290447,1663789.4791708067,0.0291981575877395,2606082.3360224813,0.037106769614321196,1781151.0783632696,0.0312577585834607,-358425.6983496994,-0.0051034534207440125,-275279.7348664701,-0.004830936353406996,-726382.7783706188,-0.010342619661797427,-571310.5754900053,-0.010026037803179788
Diversos,2025,71036958.68111789,56730952.72823678,74545742.71173778,59156143.98237297,-3508784.0306199044,-2425191.254136186,1369290147.9076867,1436889375.2065585,1139020081.2269816,78479928.19906764,62327767.87202732,-7442969.517949749,-5596815.143790543,1511442949.07206,1199098405.8044276,77942551.26636901,61952562.29080578,-6905592.585251126,-5221609.562568996,1501403498.066793,1192304956.8884232,74611521.62864695,59481991.927687086,-3574562.947529073,-2751039.1994503,1446919390.9156637,1153320892.097894,71384830.08718042,56966148.074746706,-347871.4060625392,-235195.34650992276,1376190554.2334013,1098077418.37877,71328370.38367103,56934339.81577098,-291411.7025531465,-203387.08753420576,1374995780.9635432,1097418919.7422013,77799855.60989532,61778173.04327746,-6762896.928777441,-5047220.315040678,1498996741.323715,1189041849.1038795,78479928.19906764,62327767.87202732,-7442969.517949749,-5596815.143790543,1511442949.07206,1199098405.8044276,3934185.4873298556,0.05277545496518862,3171623.8896543533,0.05361444604299118,3396808.554631233,0.045566767880580526,2796418.30843281,0.04727181523640337,65778.91690917313,0.0008823966938465522,325847.9453141168,0.00550826885219583,-3160912.624557361,-0.04240232251465182,-2189995.907626264,-0.03702059938657981,-3217372.3280667514,-0.04315970585346589,-2221804.1666019857,-0.03755829939260454,3254112.898157537,0.043652565254342184,2622029.060904488,0.044323867047280606,3934185.4873298556,0.05277545496518862,3171623.8896543533,0.05361444604299118
Diversos,2026,26901643.916311663,21483970.0018548,30001431.98609955,25713019.815298244,-3099788.069787886,-4229049.813443445,469404067.47395396,525625322.574508,450347602.9240233,29836117.21536419,25438935.577753715,-2934473.299052529,-3954965.5758989155,521528732.5284177,444595496.70529246,29123576.184852242,24632605.566034734,-2221932.26854058,-3148635.5641799346,508939990.92265236,430405092.4890131,30973777.57451286,25054615.78774689,-4072133.6582012,-3570645.7858920908,540682326.7734681,437351702.25873417,27502912.236667946,22149641.943673223,-601268.3203562847,-665671.9418184226,480001397.79296005,386569525.3624525,27410675.386678107,22013342.425674107,-509031.47036644537,-529372.4238193068,478373950.96717364,384177869.54289794,29705172.062841095,25373825.188830037,-2803528.1465294324,-3889855.186975237,519234295.5715165,443450559.6807845,29836117.21536419,25438935.577753715,-2934473.299052529,-3954965.5758989155,521528732.5284177,444595496.70529246,-165314.77073535696,-0.005510229338784616,-274084.23754452914,-0.01065935621382984,-877855.8012473062,-0.029260463355683816,-1080414.24926351,-0.042018178223496946,972345.588413313,0.032409972592769114,-658404.027551353,-0.025605861632775947,-2498519.7494316027,-0.08328001645352237,-3563377.871625021,-0.13858262845910266,-2590756.5994214416,-0.08635443136920289,-3699677.3896241374,-0.14388342622529982,-296259.9232584536,-0.009874859419900977,-339194.6264682077,-0.013191551552665165,-165314.77073535696,-0.005510229338784616,-274084.23754452914,-0.01065935621382984
Incendio,2023,213858824.6366454,162556049.52856493,191374031.88250217,147281878.38320372,22484792.754143238,15274171.145361215,3752036879.836107,3362022447.476785,2587696209.691514,193637405.66883942,149032430.41114214,20221418.967805974,13523619.117422804,3406739012.488487,2622271866.5838966,195494648.9501019,150216921.5494071,18364175.686543472,12339127.979157835,3438876488.4691753,2642667456.8360662,203292950.61362687,155246253.8207984,10565874.023018517,7309795.707766524,3580291327.7782164,2734122799.7008,208123819.0511941,158528574.17929623,5735005.585451286,4027475.3492687065,3654558822.1091805,2783764751.992459,208291933.27507326,158621863.7309175,5566891.361572133,3934185.7976474054,3657454795.957581,2785353491.9711413,192927976.88512632,148505182.45160013,20930847.75151906,14050867.07696481,3394451613.0074773,2613149830.1512976,193637405.66883942,149032430.41114214,20221418.967805974,13523619.117422804,3406739012.488487,2622271866.5838966,2263373.7863372564,0.011826964003804336,1750552.0279384255,0.011885725841870181,4120617.0675997436,0.021531746115531897,2935043.1662033796,0.019928067175833203,11918918.7311247,0.06228075258634125,7964375.437594682,0.05407573236452526,16749787.168691933,0.08752382443912658,11246695.79609251,0.07636170803600441,16917901.39257109,0.0884022833513701,11339985.347713798,0.0769951162505477,1553945.002624154,0.008119936583549795,1223304.0683964193,0.00830586954637813,2263373.7863372564,0.011826964003804336,1750552.0279384255,0.011885725841870181
Incendio,2024,251168853.9961484,183978745.90187624,223585039.16587776,167292609.84305736,27583814.830270648,16686136.058818877,4727044197.765049,4183542708.8712735,3134943729.808055,221887432.62430936,166076704.19822246,29281421.37183903,17902041.703653798,4148010329.163405,3109471545.8930044,225950738.1093828,168620320.33511823,25218115.88676557,15358425.566758,4224629331.8105907,3156872771.665096,255506701.7136207,188237912.9761851,-4337847.717472296,-4259167.074308872,4761701599.552747,3508785011.2179737,252550179.35661113,185521877.07825357,-1381325.3604627345,-1543131.1763773263,4750655835.098827,3490273216.043524,253174307.76389644,185915748.30441773,-2005453.7677480336,-1937002.4025414772,4762321707.418099,3497541571.242496,222950453.3972352,166862527.23932803,28218400.598913193,17116218.6625482,4169718254.7080092,3125516697.6928153,221887432.62430936,166076704.19822246,29281421.37183903,17902041.703653798,4148010329.163405,3109471545.8930044,-1697606.5415683985,-0.007592666074177459,-1215905.6448349059,-0.007268137223608302,2365698.9435050488,0.010580756889328075,1327710.49206087,0.00793645632826482,31921662.547742933,0.14277190757857572,20945303.13312775,0.12520160425960966,28965140.190733373,0.12954865092401882,18229267.235196203,0.10896636290328468,29589268.598018676,0.13234010964421639,18623138.461360365,0.1113207479925822,-634585.7686425447,-0.002838230013108102,-430082.60372933745,-0.0025708404222566194,-1697606.5415683985,-0.007592666074177459,-1215905.6448349059,-0.007268137223608302
Incendio,2025,315345176.89278436,210126616.04707092,295866052.5007662,203488469.5023115,19479124.39201814,6638146.544759423,6021614341.747049,5670125514.454337,3902600990.8563676,298846431.340163,205509695.39827022,16498745.55262138,4616920.648800716,5728873914.125693,3942453321.457858,301246527.4155621,206313208.39905655,14098649.477222309,3813407.6480143815,5773627489.088798,3956703129.270938,301413964.9073778,202615899.553331,13931211.985406585,7510716.4937399365,5783955125.139872,3888770237.922763,310854663.46593773,207985487.23092827,4490513.426846618,2141128.816142652,5932652396.190205,3969788369.674117,311243903.70997524,208127146.67052755,4101273.182809118,1999469.3765433803,5940019535.303891,3972395058.154712,299022999.3770904,205610448.86579716,16322177.515693992,4516167.181273758,5732926768.141665,3944842090.330815,298846431.340163,205509695.39827022,16498745.55262138,4616920.648800716,5728873914.125693,3942453321.457858,2980378.839396775,0.010073405901777313,2021225.8959587216,0.009932876791015236,5380474.914795876,0.018185509521346458,2824738.896745056,0.013881567361795744,5547912.406611562,0.01875143281805605,-872569.9489805102,-0.0042880559823100855,14988610.965171516,0.050660124196346246,4497017.728616774,0.02209961940160787,15377851.209209025,0.05197572036139293,4638677.16821605,0.022795774028677124,3156946.876324177,0.010670189599788577,2121979.363485664,0.010428007880129837,2980378.839396775,0.010073405901777313,2021225.8959587216,0.009932876791015236
Incendio,2026,139057298.68001127,92659224.71429493,143901136.88865644,98796976.47042295,-4843838.208645165,-6137751.756128028,2426960244.0705404,2511569833.7980824,1723338994.7754874,140118829.82479075,96392351.38400283,-1061531.1447794586,-3733126.669707909,2449573150.7411013,1683996723.823409,140267805.80787554,96096052.74318554,-1210507.1278642714,-3436828.0288906097,2451875714.808755,1678768006.8058414,155277713.12796578,103825924.94184409,-16220414.447954498,-11166700.227549164,2711551209.80226,1812822285.2875285,137438795.04514188,92099915.23532052,1618503.6348693892,559309.4789744057,2399793398.9754806,1607973385.9576552,137577853.24173847,92128598.02397092,1479445.4382728264,530626.6903240085,2402158997.5369,1608454738.98867,138916309.0446438,95630056.13351353,140989.6353674829,-2970831.4192186,2428649876.010813,1670732648.7462585,140118829.82479075,96392351.38400283,-1061531.1447794586,-3733126.669707909,2449573150.7411013,1683996723.823409,-3782307.0638656914,-0.02628406658657779,-2404625.086420119,-0.024339055427875327,-3633331.0807808936,-0.02524880038711706,-2700923.7272374183,-0.02733812130420812,11376576.23930934,0.07905827907469537,5028948.471421137,0.05090184589734549,-6462341.843514562,-0.04490820561421138,-6697061.23510243,-0.0677860950239438,-6323283.646917969,-0.04394186024958658,-6668378.4464520365,-0.06749577451338667,-4984827.844012648,-0.03464064253967403,-3166920.3369094282,-0.03205483052264778,-3782307.0638656914,-0.02628406658657779,-2404625.086420119,-0.024339055427875327
