Grupo,delta,meses_equiv_cuentas,ratio,MAPE,R2,PND_real_prom,ventana_desde
Agro,0.095,3.3116666666666665,0.9684051428062688,0.08469928839726808,0.9236951384952484,7519859.596419869,202301
Autos,0.13,4.163333333333334,0.9211682540412455,0.15952610009824544,0.6274880956945155,10260758.76956852,202301
AyE,0.045,2.0949999999999998,1.0183515074238016,0.1713207986242627,0.8041679270924196,15669066.066892063,202301
CAT,-0.035,0.14833333333333332,1.0032241592402757,0.05198352424558116,0.9212839392003805,128979174.97124453,202401
Credito,-0.085,-1.0683333333333334,0.9952886086713763,0.08659423930793453,0.8470571410652115,3222399.2802362796,202301
Diversos,0.0,1.0,1.006016207285961,0.05068632115716291,0.8551379360352935,33358736.453640122,202301
Incendio,0.0,1.0,0.9969765053998528,0.023651302522760886,0.9820008720249377,126512826.88207443,202301
MyT,-0.01,0.7566666666666667,1.0051499098311603,0.05150388914530621,0.9732754856812094,41927580.5163786,202301
RC,0.0,1.0,0.9894801317092231,0.09784144962709003,0.8092337621796275,13203840.85665919,202301
Vida,0.07,2.703333333333333,1.0161248880221565,0.10081910802906656,0.9593737583046322,27127101.627045527,202301
