g,dR,dS,dC,rrc_real,sonr_real
Autos,0.315,0.125,0.315,42497894.302053474,62434271.87709613
AyE,0.03,-0.4,0.03,62083573.17398452,15864227.498143671
Credito,0.0,0.605,0.0,12104460.882412834,488279.8725378304
Diversos,0.06,-0.19,0.06,96644526.88400735,110222196.14828604
Incendio,0.05,-0.295,0.05,427001718.42255807,300341391.4766541
MyT,0.03,-0.22,0.03,213493555.08987552,197924890.6459242
RC,0.105,0.075,0.105,54314540.01848836,45678266.06420472
Vida,0.055,0.02,0.055,213451595.66669983,103862337.78948858
