Ramo,Grupo,real,ajustable,d_grupo,d_plana,d_escal,eam_leg,raz_leg,eam_grp,raz_grp,eam_pla,raz_pla,eam_esc,raz_esc
10,Vida,213451595.66669983,True,0.055,0.045,0.0,0.03849527323569074,1.029473954813355,0.05958575515508799,0.9976498781769352,0.053332484692009685,1.0159343384189614,0.03627235841181911,1.0256105558582
31,AyE,6376461.536278149,True,0.03,0.115,0.03,0.1156780403973387,1.103107751791433,0.21229343330215378,1.1947688459538848,0.07361401911799947,1.0237300947431258,0.07384355574623289,1.022624968128676
35,AyE,14050195.9740745,True,0.03,0.115,0.035,0.16474715600860662,1.1648289633897415,0.08357926158334872,1.0834815602336785,0.017528228736458734,1.0074205099759992,0.01768094574610704,1.0090116966158318
39,AyE,41656915.66363188,True,0.03,0.0,0.0,0.00868213164621659,1.004729110851798,0.05749918759603742,0.9424689648063433,0.00868213164621659,1.004729110851798,0.00868213164621659,1.004729110851798
40,RC,54314540.01848836,True,0.105,0.11,0.05,0.11125296345937791,1.1080816554977895,0.038345315126070506,1.0047712194944787,0.0380252903977098,0.9947727572298054,0.038902839677255274,1.001523306393813
50,MyT,213493555.08987552,True,0.03,0.03,-0.005,0.013135550168045684,0.9932161907098351,0.006823336217180925,1.0027682289224273,0.006823336217180925,1.0027682289224273,0.009485969618438006,1.0014097524219763
60,Incendio,427001718.42255807,True,0.05,0.055,0.01,0.028860488397783435,1.0228859367693262,0.018819661387000253,1.0024933431180683,0.015925695480030422,0.992639027950556,0.015349652777908618,0.9951841344116171
71,CAT,76896779.2952599,False,-0.035,-0.035,-0.035,0.4513736874553341,0.5534780466713418,0.407392009846525,0.5975666078143904,0.407392009846525,0.5975666078143904,0.407392009846525,0.5975666078143904
73,CAT,42217339.74113248,False,-0.035,-0.035,-0.035,0.4528276209438917,0.5426149060807157,0.40814235671531446,0.5871083351820033,0.40814235671531446,0.5871083351820033,0.40814235671531446,0.5871083351820033
80,Agro,19615443.80463978,True,0.13,0.115,0.0,0.21022637862023263,1.1843400853203843,0.08286189854707199,0.9974043336591221,0.07497101607886397,1.0286982897809087,0.08352387767156347,1.0596723470467706
90,Autos,42497894.302053474,True,0.315,0.315,0.0,0.050059241715852326,1.024615634076953,0.02735577187032065,0.9975222178194731,0.02735577187032065,0.9975222178194731,0.030806309904971407,0.9897916436986115
100,Credito,12104460.882412834,True,0.0,0.0,0.0,0.014966523936030651,1.0144240191192218,0.009126295339855761,0.9961542861111119,0.009126295339855761,0.9961542861111119,0.009126295339855761,0.9961542861111119
110,Diversos,96644526.88400735,True,0.06,0.065,0.02,0.047482153509544406,1.038345496911626,0.03145326049987063,1.0048168087911737,0.028907325453203236,0.9946555754147944,0.025590452427830812,0.990411505908263
