Grupo,BEL_real,razon_legado_rec,razon_modelo,razon_reajustado
Agro,19615443.80463978,1.0596723470467706,1.072133662746529,0.9974043336591218
Autos,42497894.302053474,0.9897916436986115,1.4809862721813472,0.9975222178194729
AyE,62083573.17398452,1.0206872681523833,0.973157931891832,1.0002948099498081
CAT,119114119.03639238,0.5938599066071895,0.5938599066071895,0.5938599066071895
Credito,12104460.882412834,0.9961542861111119,1.135437042356576,0.9961542861111119
Diversos,96644526.88400735,1.0326734773915276,1.1348412098115597,1.004816808791174
Incendio,427001718.42255807,1.0154356933214088,1.1082836257915347,1.0024933431180683
MyT,213493555.08987552,0.9909585504611207,1.088976794834738,1.0027682289224271
RC,54314540.01848836,1.1049998964811925,1.2222795277512246,1.0047712194944785
Vida,213451595.66669983,1.0256105558582,0.9702231878138962,0.9976498781769352
