fecha,local,visitante,gl,gv,fase
2010-10-30,Atlas,Pachuca,1,2,regular
2010-10-31,Morelia,Monterrey,0,2,regular
2010-10-31,Toluca,San Luis,1,2,regular
2010-10-31,Necaxa,Atlante,1,2,regular
2010-10-31,América,Tecos,4,1,regular
2010-11-05,Tecos,Toluca,4,2,regular
2010-11-06,Chiapas,Atlas,2,1,regular
2010-11-06,San Luis,Santos,1,1,regular
2010-11-06,Pachuca,Querétaro,2,1,regular
2010-11-06,Tigres,Morelia,0,1,regular
2010-11-06,Chivas,Cruz Azul,0,0,regular
2010-11-06,Atlante,América,0,1,regular
2010-11-07,Pumas,Necaxa,2,0,regular
2010-11-07,Puebla,Monterrey,2,0,regular
2010-11-12,Necaxa,Pachuca,1,2,regular
2010-11-13,Cruz Azul,San Luis,1,0,regular
2010-11-13,Querétaro,Chiapas,1,1,regular
2010-11-13,Monterrey,Chivas,2,3,regular
2010-11-13,Santos,Tecos,1,0,regular
2010-11-13,Atlas,Tigres,2,2,regular
2010-11-14,Morelia,Puebla,3,3,regular
2010-11-14,Toluca,Atlante,1,1,regular
2010-11-14,América,Pumas,0,1,regular
2010-11-17,San Luis,América,0,0,liguilla
2010-11-17,Pumas,Cruz Azul,1,2,liguilla
2010-11-18,Pachuca,Monterrey,1,1,liguilla
2010-11-18,Chiapas,Santos,1,1,liguilla
2010-11-20,Cruz Azul,Pumas,0,2,liguilla
2010-11-20,América,San Luis,4,1,liguilla
2010-11-21,Monterrey,Pachuca,3,3,liguilla
2010-11-21,Santos,Chiapas,1,0,liguilla
2010-11-25,América,Santos,1,2,liguilla
2010-11-25,Pumas,Monterrey,0,0,liguilla
2010-11-28,Santos,América,3,3,liguilla
2010-11-28,Monterrey,Pumas,2,0,liguilla
2010-12-02,Santos,Monterrey,3,2,liguilla
2010-12-05,Monterrey,Santos,3,0,liguilla
2011-01-07,Necaxa,Chiapas,0,1,regular
2011-01-08,Monterrey,San Luis,0,2,regular
2011-01-08,Querétaro,Tigres,2,2,regular
2011-01-08,Cruz Azul,Tecos,4,1,regular
2011-01-08,Santos,Atlante,2,1,regular
2011-01-08,Atlas,Morelia,5,0,regular
2011-01-09,Puebla,Chivas,1,1,regular
2011-01-09,Toluca,Pumas,1,1,regular
2011-01-09,América,Pachuca,0,2,regular
2011-01-14,Tecos,Monterrey,3,2,regular
2011-01-15,Chiapas,América,2,2,regular
2011-01-15,San Luis,Puebla,3,0,regular
2011-01-15,Tigres,Necaxa,1,0,regular
2011-01-15,Pachuca,Toluca,0,0,regular
2011-01-15,Atlas,Querétaro,2,1,regular
2011-01-15,Atlante,Cruz Azul,3,0,regular
2011-01-16,Pumas,Santos,2,0,regular
2011-01-16,Morelia,Chivas,1,1,regular
2011-01-21,Necaxa,Atlas,0,1,regular
2011-01-22,Monterrey,Atlante,1,0,regular
2011-01-22,Querétaro,Morelia,0,3,regular
2011-01-22,Cruz Azul,Pumas,3,3,regular
2011-01-22,Chivas,San Luis,1,1,regular
2011-01-22,Santos,Pachuca,1,1,regular
2011-01-23,Puebla,Tecos,2,0,regular
2011-01-23,Toluca,Chiapas,2,0,regular
2011-01-23,América,Tigres,1,2,regular
2011-01-28,Tecos,Chivas,1,0,regular
2011-01-29,Chiapas,Santos,1,2,regular
2011-01-29,Querétaro,Necaxa,1,0,regular
2011-01-29,Tigres,Toluca,0,1,regular
2011-01-29,Pachuca,Cruz Azul,0,4,regular
2011-01-29,Atlas,América,0,2,regular
2011-01-29,Atlante,Puebla,2,0,regular
2011-01-30,Pumas,Monterrey,3,2,regular
2011-01-30,Morelia,San Luis,3,3,regular
2011-02-02,América,San Luis,3,0,regular
2011-02-04,Necaxa,Morelia,0,0,regular
2011-02-05,Monterrey,Pachuca,2,0,regular
2011-02-05,Cruz Azul,Chiapas,2,0,regular
2011-02-05,Chivas,Atlante,2,0,regular
2011-02-05,Santos,Tigres,0,2,regular
2011-02-05,San Luis,Tecos,3,2,regular
2011-02-06,Puebla,Pumas,0,1,regular
