Ramo,CohorteAAAAMM,Antiguedad,PrimaDevAcum
LN04002,202504,11,1927927.9838496
LN04002,202504,12,2968158.8882016
LN04002,202504,13,2989219.4481696
LN04002,202504,14,3422846.0888742004
LN04002,202504,15,3434445.4082862
LN04002,202505,8,262052.2788224
LN04002,202505,9,1807657.0821045998
LN04002,202505,10,1962771.5935858
LN04002,202505,11,1964519.5935858
LN04002,202505,12,3618788.1286532
LN04002,202505,13,2080251.0327931999
LN04002,202505,14,2660378.6777902
LN04002,202506,7,688903.318586
LN04002,202506,8,1924426.6735644
LN04002,202506,9,2094725.9991088
LN04002,202506,10,326249561.4991088
LN04002,202506,11,326698408.4889624
LN04002,202506,12,326952595.97445637
LN04002,202506,13,330522310.3744564
LN04002,202507,6,7176872.2711084
LN04002,202507,7,9278943.609594
LN04002,202507,8,13416400.4538358
LN04002,202507,9,15180161.2629558
LN04002,202507,10,21054376.8094998
LN04002,202507,11,22020751.909398
LN04002,202507,12,30400403.279709198
LN04002,202508,5,917519.12512
LN04002,202508,6,1479937.83512
LN04002,202508,7,2168444.0104902
LN04002,202508,8,2242915.0266864
LN04002,202508,9,2297478.8771245
LN04002,202508,10,2299867.4758995
LN04002,202509,4,6741637.8585496005
LN04002,202509,5,9840702.7999706
LN04002,202509,6,10074076.3493246
LN04002,202509,7,10085988.003228601
LN04002,202509,8,10221375.5522529
LN04002,202509,9,11607415.7449411
LN04002,202509,10,12022261.8795951
LN04002,202510,3,5606508.731815199
LN04002,202510,4,9202842.225650199
LN04002,202510,5,12668842.0642282
LN04002,202510,6,13868110.8997922
LN04002,202510,7,14611729.1529762
LN04002,202510,8,16539586.9116772
LN04002,202510,9,17066158.9825412
LN04002,202511,2,2603962.81413
LN04002,202511,3,6280566.4573412
LN04002,202511,4,17231303.8652439
LN04002,202511,5,19139924.3101319
LN04002,202511,6,22078519.7788597
LN04002,202511,7,22083653.4625442
LN04002,202511,8,21743597.744178202
LN04002,202512,1,105371.05
LN04002,202512,2,1698108.9701922
LN04002,202512,3,8760362.4856296
LN04002,202512,4,21712973.307806097
LN04002,202512,5,29311194.0217066
LN04002,202512,6,47818961.5718866
LN04002,202512,7,48701582.0316006
LN04002,202601,0,5842662.93652
LN04002,202601,1,13869890.28902
LN04002,202601,2,17546789.0495881
LN04002,202601,3,24426179.8916379
LN04002,202601,4,33728927.9376077
LN04002,202601,5,44526403.6558195
LN04002,202601,6,53016800.7625855
