PERIODO,RAM,RRC BEL,RRC BRUTO,RRC GTO,RRC IRR,RRC MR,RRC NETO,SONR BEL,SONR BRUTO,SONR IRR,SONR MR,SONR NETO,IRR/BEL,GTO/BEL,MR/BEL,chk,chk2
202201,RAM_10,11443860.741556464,12532514.07725072,486634.63572239416,1123369.3835078154,602018.699971863,11409144.693742905,11469364.637565857,11694333.745039634,1137547.2280167271,224969.1074737792,10556786.517022906,0.09816349647007566,0.042523641864607976,0.05260625881139333,1.862645149230957e-09,-1.862645149230957e-09
202201,RAM_100,888901.4602152001,1175859.0906885816,240453.27456896973,148875.33643164157,46504.3559044117,1026983.75425694,28329.83011051064,35119.02839900259,0.0,6789.198288491952,35119.02839900259,0.16748238482542188,0.2705061081919663,0.05231666049142629,0.0,0.0
202201,RAM_110,17829429.067499787,20490979.67002048,1119435.230481143,4108641.205720551,1542115.3720395472,16382338.464299925,8302405.31887025,8580094.338148972,1491283.5674852282,277689.01927872153,7088810.770663743,0.2304415463986982,0.06278581474724255,0.08649269509423486,-3.725290298461914e-09,3.725290298461914e-09
202201,RAM_30,1202891.729651586,1535198.074553446,23763.95742575218,183749.0836058098,308542.3874761078,1351448.990947636,1904090.8976685072,2267680.794046591,340671.0984117128,363589.8963780842,1927009.6956348787,0.15275612848301168,0.01975569109003297,0.2565005476972364,0.0,0.0
202201,RAM_34,2667339.728526104,3511779.05585687,52696.56631123444,0.0,791742.761019531,3511779.05585687,3106219.9263585825,3563042.981749736,-90067.10004172043,456823.05539115344,3653110.081791456,0.0,0.019756225930902722,0.2968286163746474,-4.656612873077393e-10,0.0
202201,RAM_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
202201,RAM_40,4164369.8899744833,5026739.149291238,251813.5635072332,1609026.5046038018,610555.6958095221,3417712.644687436,3914035.1179329953,4148863.030358893,1813727.4830935216,234827.91242589772,2335135.547265372,0.38637934360188664,0.06046858712369956,0.14661418460435155,0.0,0.0
202201,RAM_50,10714841.61710344,13165323.019977298,464692.250671893,172798.9283669846,1985789.152201966,12992524.091610312,10317093.301929817,10973084.045329738,690901.5169743954,655990.7433999245,10282182.528355343,0.01612706324012819,0.04336902655939715,0.18533070512513905,1.862645149230957e-09,0.0
202201,RAM_60,48473193.85739373,55108996.444545776,2637408.748192923,9246525.016251566,3998393.838959124,45862471.42829421,20757331.481463514,21409097.8232606,3848188.305180126,651766.3417970835,17560909.518080473,0.1907554316196801,0.05440963423932985,0.08248670080874483,0.0,0.0
202201,RAM_71,7797043.603190159,7797043.603190159,0.0,2235133.847400235,0.0,5561909.755789924,0.0,0.0,0.0,0.0,0.0,0.28666427445470877,0.0,0.0,0.0,0.0
202201,RAM_73,9509961.59391464,9509961.59391464,0.0,3158019.449969437,0.0,6351942.143945202,0.0,0.0,0.0,0.0,0.0,0.33207488997539514,0.0,0.0,0.0,0.0
202201,RAM_80,10780787.323779678,13200874.480192496,1800784.8646996615,1014070.8306247392,619302.2917131574,12186803.64956776,1525986.9948674166,1619599.441140229,130438.41578778854,93612.44627281284,1489161.0253524408,0.09406278040454026,0.16703648913726252,0.05744499665132378,1.862645149230957e-09,-3.725290298461914e-09
202201,RAM_90,5713933.638798065,6876526.478407251,222861.80251680943,358573.44397333777,939731.0370923768,6517953.0344339125,7453313.86137173,7713531.559568049,1389638.0466104574,260217.6981963189,6323893.5129575925,0.06275421918424035,0.0390032185539503,0.1644630645885574,0.0,0.0
202202,RAM_10,11233854.21953882,12356240.096583046,472652.8921310645,1193655.758435179,649732.984913163,11162584.338147867,11651488.860787868,11836614.68919946,1152469.3127107578,185125.82841159383,10684145.376488702,0.1062552295150027,0.042073974158307006,0.05783704970846918,1.862645149230957e-09,0.0
202202,RAM_100,1015439.0045416448,1335732.4756836835,274682.4532678401,238205.1332280764,45611.01787419839,1097527.3424556071,31527.640196479737,38583.2602381927,0.0,7055.620041712959,38583.2602381927,0.23458339906452472,0.27050610823426857,0.04491753583445081,0.0,0.0
202202,RAM_110,16459513.903670352,18935688.14445549,1086599.82847007,4108622.005048437,1389574.4123150697,14827066.139407055,8631880.320351638,8859837.491959536,1694289.6848137537,227957.1716078982,7165547.807145784,0.24961988726363565,0.06601651997923014,0.08442378192014557,3.725290298461914e-09,-3.725290298461914e-09
202202,RAM_30,1334758.5984250433,1678653.8579615229,22704.894450616925,237841.81285694797,321190.36508586246,1440812.0451045749,2030773.791493675,2418546.064070327,385198.3256339785,387772.2725766524,2033347.7384363487,0.17819088270912126,0.017010487497445385,0.2406355467309617,0.0,0.0
202202,RAM_34,2682605.054285324,3497728.276124202,45634.54232695944,0.0,769488.6795119194,3497728.276124202,4153189.7101534023,4751753.884763075,-91229.0538564996,598564.1746096719,4842982.938619574,0.0,0.01701127873969394,0.28684381932506264,4.656612873077393e-10,0.0
202202,RAM_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
202202,RAM_40,4584218.182659883,5398540.931329552,296907.2846617157,2020587.5470245408,517415.4640079528,3377953.3843050115,4237876.752334171,4492065.379217589,1900525.5642944863,254188.6268834181,2591539.8149231034,0.44077037054378226,0.06476726735755896,0.11286885645301786,0.0,0.0
202202,RAM_50,10907053.637214197,13607028.155273568,486728.07291971234,172050.3182075122,2213246.44513966,13434977.837066056,10735229.651774753,11303421.946572326,756906.8758162291,568192.2947975751,10546515.070756096,0.01577422500431162,0.04462507374668316,0.20291881921146873,0.0,0.0
202202,RAM_60,42967065.90160419,50183165.06490848,2658972.642925365,9184473.87287293,4557126.520378925,40998691.19203556,20736913.824727595,21164307.37627429,3800210.030115197,427393.55154669314,17364097.346159093,0.21375613345127262,0.061883970597724505,0.10606091956138859,0.0,-7.450580596923828e-09
202202,RAM_71,7253641.708574546,7253641.708574546,0.0,2167659.523809524,0.0,5085982.184765022,0.0,0.0,0.0,0.0,0.0,0.2988374131089393,0.0,0.0,0.0,0.0
202202,RAM_73,9199644.710835624,9199644.710835624,0.0,3012319.0583396684,0.0,6187325.652495954,0.0,0.0,0.0,0.0,0.0,0.32743862975400195,0.0,0.0,0.0,1.862645149230957e-09
202202,RAM_80,9792269.01253338,11954429.857903048,1635666.2368672397,900802.6928249812,526494.6085024268,11053627.165078066,1680017.699744654,1776259.3474065843,143604.62594780032,96241.6476619301,1632654.721458784,0.09199121180923649,0.16703648917055974,0.05376635464452137,-1.862645149230957e-09,0.0
202202,RAM_90,5324491.85525213,6427544.520788259,205461.1396994328,414774.914235035,897591.5258366958,6012769.606553224,7962998.55466542,8273167.096953396,1439428.1313958247,310168.5422879754,6833738.965557572,0.07789943632384319,0.03858793388833227,0.16857787564296917,0.0,0.0
202203,RAM_10,11543533.272669684,12668494.97212321,480894.3467178788,1191568.827264455,644067.3527356456,11476926.144858755,12480792.960670851,12713464.766654434,1280218.287073113,232671.8059835806,11433246.47958132,0.1032239262553691,0.04165919873566249,0.05579464601713679,0.0,0.0
202203,RAM_100,907798.943245974,1205069.663819497,245565.1592923468,207734.6778207339,51705.561281176,997334.9859987632,33079.190190587746,42396.22997219862,0.0,9317.03978161087,42396.22997219862,0.22883335496949,0.27050610833968475,0.056957062646817866,-2.3283064365386963e-10,-1.1641532182693481e-10
202203,RAM_110,15917307.3424798,18682445.285077244,1054489.0679751246,3890843.3409917,1710648.8746223182,14791601.944085544,8855005.125910582,9189053.19112568,1683787.2596286782,334048.0652150962,7505265.931497001,0.24444105132077792,0.06624795546674686,0.1074709960557821,0.0,0.0
202203,RAM_30,1665800.4715676857,2215553.058403004,28830.071237890315,229500.1870183147,520922.515597428,1986052.8713846891,1125781.6717024194,1420212.9012472911,393919.8576247668,294431.2295448718,1026293.0436225244,0.13777171452132678,0.01730703750537321,0.3127160332156633,0.0,2.3283064365386963e-10
202203,RAM_34,2201330.47041139,3019981.8114634184,38100.00955201069,0.0,780551.3315000175,3019981.8114634184,6161933.495885094,7246631.890644559,-20147.05018827516,1084698.3947594652,7266778.940832835,0.0,0.017307719156265743,0.3545816232463026,0.0,0.0
202203,RAM_37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
202203,RAM_40,4944522.522635751,6112858.312511625,308162.36055321223,2072838.5609644516,860173.4293226618,4040019.7515471736,4432414.969508977,4880544.070966411,1939172.6520906333,448129.1014574357,2941371.4188757786,0.41921915644536173,0.06232398763327742,0.17396491276656853,9.313225746154785e-10,-4.656612873077393e-10
202203,RAM_50,11736276.190859228,14854532.380310792,500719.3186902685,160724.5109621891,2617536.870761296,14693807.869348604,11209363.924066542,11974042.623082684,787448.1597297284,764678.6990161428,11186594.463352956,0.01369467694423969,0.04266424124206046,0.22302959032269182,0.0,0.0
202203,RAM_60,44763197.12735847,50320271.55009024,2805674.84402572,8569506.14144014,2751399.5787060545,41750765.4086501,22671996.84934468,23199085.04104851,3957025.938233682,527088.1917038272,19242059.102814827,0.19144088651796973,0.06267816027624491,0.061465662760367225,0.0,0.0
202203,RAM_71,7225041.809653562,7225041.809653562,0.0,2058990.8516874376,0.0,5166050.957966125,0.0,0.0,0.0,0.0,0.0,0.28497978363756565,0.0,0.0,0.0,-9.313225746154785e-10
202203,RAM_73,9114808.277068635,9114808.277068635,0.0,2710378.401395599,0.0,6404429.875673039,0.0,0.0,0.0,0.0,0.0,0.297359891618836,0.0,0.0,0.0,-1.862645149230957e-09
202203,RAM_80,11503944.273066849,14215314.76891675,1921578.4627295623,906238.899306725,789792.0331203402,13309075.869610025,1764368.0791911958,1891474.627848636,152117.94822810203,127106.54865743977,1739356.6796205337,0.078776363810143,0.16703648914819427,0.06865402112294731,0.0,0.0
202203,RAM_90,4513500.129203513,5531560.816143904,176618.16742161065,365421.757469421,841442.5195187796,5166139.058674483,8490990.509323264,8859321.640331605,1551383.6409248356,368331.13100834034,7307937.999406771,0.08096194682814956,0.039131087263927486,0.18642793739484548,0.0,0.0
202204,RAM_10,23565330.407022752,25394140.912643217,978962.287112994,1177723.9219868963,849848.2185074686,24216416.99065632,12287383.7397335,12411293.991732731,1120753.5937046884,123910.25199923322,11290540.398028044,0.04997697471858576,0.04154248084810436,0.036063496833220875,-3.725290298461914e-09,0.0
202204,RAM_100,760479.842027397,988336.6266410424,205714.44215617364,173478.90520169277,22142.34245747175,814857.7214393497,32918.4799437708,37653.80997085322,0.0,4735.330027082421,37653.80997085322,0.2281176904560779,0.27050610783811224,0.02911627795214334,0.0,0.0
